
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-03-16 17:04:58 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:04:59 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:04:59 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:05:00 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:05:01 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:05:30 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:05:31 /api/system/compression-status ..................................................... ~ 509.37ms
  2026-03-16 17:06:46 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:06:47 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:06:50 /api/auth/me ....................................................................... ~ 512.15ms
  2026-03-16 17:06:51 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:09:00 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:09:01 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:09:01 /api/auth/me ............................................................................. ~ 2s
  2026-03-16 17:09:03 /api/auth/me ....................................................................... ~ 512.40ms
  2026-03-16 17:10:30 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:10:31 /api/system/compression-status ..................................................... ~ 516.70ms
  2026-03-16 17:14:01 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:14:16 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:14:16 /api/system/compression-status ..................................................... ~ 508.67ms
  2026-03-16 17:14:16 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:14:18 /api/auth/me ....................................................................... ~ 517.19ms
  2026-03-16 17:15:30 /api/system/compression-status ..................................................... ~ 505.18ms
  2026-03-16 17:15:31 /api/system/compression-status ..................................................... ~ 503.89ms
  2026-03-16 17:19:16 /api/system/compression-status ..................................................... ~ 510.90ms
  2026-03-16 17:20:30 /api/system/compression-status ..................................................... ~ 501.23ms
  2026-03-16 17:20:31 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:23:26 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:23:27 /api/system/compression-status ..................................................... ~ 515.01ms
  2026-03-16 17:23:27 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:23:29 /api/auth/me ....................................................................... ~ 512.32ms
  2026-03-16 17:23:29 /api/auth/me ....................................................................... ~ 501.26ms
  2026-03-16 17:23:29 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:23:30 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:23:31 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:23:31 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:23:32 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:23:33 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:23:50 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:23:51 /api/system/compression-status ..................................................... ~ 506.36ms
  2026-03-16 17:23:51 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:23:52 /api/auth/me ............................................................................. ~ 1s
